LAPORAN PENJUALAN

Tanggal Cetak,2 Jul 2018
Tanggal,1 Jan 2018 - 2 Feb 2018
Total Omzet,2.5355E7
Total Laba Kotor,1.046319E7
Total Penjualan,209.0
Total Barang,214.0

ID Pesanan,Waktu,SKU,Nama Barang,Jumlah,Harga Jual,Total,Harga Beli,Laba
ID-20180109-853724,2018-01-09 2:38:36,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,115000,115000,70883,44117
ID-20180109-853724,2018-01-09 2:38:36,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,125000,125000,74010,50990
ID-20180108-149680,2018-01-09 2:07:08,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),2.0,115000,230000,62360,105280
ID-20180108-548167,2018-01-08 22:05:15,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,125000,125000,67661,57339
ID-20180108-548167,2018-01-08 22:05:15,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,115000,115000,62360,52640
ID-20180108-901847,2018-01-08 21:37:12,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,120000,120000,70883,49117
ID-20180108-170723,2018-01-08 15:26:44,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,110000,110000,70883,39117
ID-20180108-170723,2018-01-08 15:26:44,SSI-D01220338-XX-SAL,Devibav Plain Trump Blouse (XXL,Salem),1.0,130000,130000,67300,62700
ID-20180108-268141,2018-01-08 11:46:27,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,110000,110000,74010,35990
ID-20180108-750817,2018-01-08 11:41:26,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,130000,130000,68916,61084
ID-20180108-921818,2018-01-08 10:32:14,SSI-D01037812-X3-BLA,Dellaya Plain Loose Big Blouse (XXXL,Black),1.0,130000,130000,67978,62022
ID-20180108-054736,2018-01-08 10:09:57,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,120000,120000,71624,48376
ID-20180108-771439,2018-01-08 9:51:40,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,115000,115000,62360,52640
ID-20180108-514947,2018-01-08 8:12:12,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,130000,130000,71624,58376
ID-20180108-514947,2018-01-08 8:12:12,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,130000,130000,67661,62339
ID-20180108-300302,2018-01-08 7:18:11,SSI-D01326205-MM-NAV,Siunfhi Ethnic Trump Blouse (M,Navy),1.0,130000,130000,75209,54791
ID-20180108-314485,2018-01-08 5:14:14,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,120000,120000,70071,49929
ID-20180108-314485,2018-01-08 5:14:14,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,115000,115000,70071,44929
ID-20180108-712081,2018-01-08 5:08:47,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,130000,130000,74010,55990
ID-20180108-290736,2018-01-08 4:43:23,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,115000,115000,74010,40990
ID-20180108-290736,2018-01-08 4:43:23,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,115000,115000,71624,43376
ID-20180108-516025,2018-01-08 3:54:55,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,110000,110000,71624,38376
ID-20180108-232069,2018-01-08 3:42:09,SSI-D01220388-MM-SAL,Devibav Plain Trump Blouse (M,Salem),1.0,125000,125000,67500,57500
ID-20180108-787015,2018-01-08 2:52:26,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,110000,110000,70883,39117
ID-20180108-806361,2018-01-08 1:06:26,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,110000,110000,68916,41084
ID-20180108-806361,2018-01-08 1:06:26,SSI-D01326201-XL-KHA,Siunfhi Ethnic Trump Blouse (XL,Khaki),1.0,115000,115000,69808,45192
ID-20180107-158796,2018-01-07 23:04:35,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,130000,130000,70883,59117
ID-20180107-954171,2018-01-07 19:19:22,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,130000,130000,74010,55990
ID-20180107-988936,2018-01-07 16:58:38,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,125000,125000,70071,54929
ID-20180107-824047,2018-01-07 14:48:46,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,130000,130000,73600,56400
ID-20180107-824047,2018-01-07 14:48:46,SSI-D01466013-XX-BLA,Salyara Plain Casual Big Blouse (XXL,Black),1.0,115000,115000,78269,36731
ID-20180107-224203,2018-01-07 14:24:03,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,130000,130000,70071,59929
ID-20180107-932533,2018-01-07 13:55:45,SSI-D01220355-XX-YEL,Devibav Plain Trump Blouse (XXL,Yellow),1.0,130000,130000,65364,64636
ID-20180107-275815,2018-01-07 13:12:45,SSI-D01466013-XX-BLA,Salyara Plain Casual Big Blouse (XXL,Black),1.0,120000,120000,78269,41731
ID-20180107-792305,2018-01-07 12:44:55,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,110000,110000,73600,36400
ID-20180107-557472,2018-01-07 12:25:36,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,130000,130000,65560,64440
ID-20180107-654373,2018-01-07 11:19:39,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,125000,125000,70883,54117
ID-20180107-256771,2018-01-07 10:39:42,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,130000,130000,72961,57039
ID-20180107-256771,2018-01-07 10:39:42,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,125000,125000,73600,51400
ID-20180107-267724,2018-01-07 10:14:42,SSI-D00791077-MM-BWH,Zalekia Plain Casual Blouse (M,Broken White),1.0,115000,115000,71854,43146
ID-20180107-267724,2018-01-07 10:14:42,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,110000,110000,68916,41084
ID-20180107-637443,2018-01-07 9:40:02,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,110000,110000,70883,39117
ID-20180107-394574,2018-01-07 8:30:46,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,130000,130000,67661,62339
ID-20180107-886518,2018-01-07 7:24:23,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,120000,120000,74010,45990
ID-20180107-248621,2018-01-07 6:19:20,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,125000,125000,67661,57339
ID-20180107-248621,2018-01-07 6:19:20,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,115000,115000,62360,52640
ID-20180107-886941,2018-01-07 6:10:03,SSI-D01220334-XL-YEL,Devibav Plain Trump Blouse (XL,Yellow),1.0,125000,125000,71835,53165
ID-20180107-515949,2018-01-07 3:51:39,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,110000,110000,67365,42635
ID-20180107-515949,2018-01-07 3:51:39,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,125000,125000,65560,59440
ID-20180107-715783,2018-01-07 2:58:26,SSI-D01220322-MM-YEL,Devibav Plain Trump Blouse (M,Yellow),1.0,130000,130000,67666,62334
ID-20180107-487998,2018-01-07 2:10:31,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,130000,130000,72961,57039
ID-20180106-916346,2018-01-06 22:50:25,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,120000,120000,62360,57640
ID-20180106-916346,2018-01-06 22:50:25,SSI-D01326201-XL-KHA,Siunfhi Ethnic Trump Blouse (XL,Khaki),1.0,115000,115000,69808,45192
ID-20180106-747402,2018-01-06 21:56:16,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,120000,120000,67365,52635
ID-20180106-660361,2018-01-06 15:00:36,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,130000,130000,70071,59929
ID-20180106-995226,2018-01-06 13:50:49,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,125000,125000,67661,57339
ID-20180106-159566,2018-01-06 12:55:31,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,110000,110000,65560,44440
ID-20180106-159566,2018-01-06 12:55:31,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,130000,130000,74010,55990
ID-20180106-448993,2018-01-06 12:34:35,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),2.0,120000,240000,73600,92800
ID-20180106-497805,2018-01-06 12:05:40,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,125000,125000,67661,57339
ID-20180106-052436,2018-01-06 12:04:27,SSI-D01220307-XL-SAL,Devibav Plain Trump Blouse (XL,Salem),1.0,125000,125000,69046,55954
ID-20180106-191506,2018-01-06 10:49:05,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,130000,130000,70071,59929
ID-20180106-191506,2018-01-06 10:49:05,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,110000,110000,68916,41084
ID-20180106-963044,2018-01-06 10:48:48,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,125000,125000,68916,56084
ID-20180106-147883,2018-01-06 9:46:52,SSI-D01326201-XL-KHA,Siunfhi Ethnic Trump Blouse (XL,Khaki),1.0,115000,115000,69808,45192
ID-20180106-194221,2018-01-06 9:36:10,SSI-D00791077-MM-BWH,Zalekia Plain Casual Blouse (M,Broken White),1.0,115000,115000,71854,43146
ID-20180106-194221,2018-01-06 9:36:10,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,120000,120000,65560,54440
ID-20180106-941338,2018-01-06 9:32:13,SSI-D01037812-X3-BLA,Dellaya Plain Loose Big Blouse (XXXL,Black),1.0,130000,130000,67978,62022
ID-20180106-840203,2018-01-06 9:10:38,SSI-D01220355-XX-YEL,Devibav Plain Trump Blouse (XXL,Yellow),1.0,125000,125000,65364,59636
ID-20180106-840203,2018-01-06 9:10:38,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,120000,120000,74010,45990
ID-20180106-668414,2018-01-06 8:46:04,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,110000,110000,65560,44440
ID-20180106-011810,2018-01-06 7:23:10,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,125000,125000,67661,57339
ID-20180106-011810,2018-01-06 7:23:10,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,110000,110000,70071,39929
ID-20180106-821540,2018-01-06 6:50:02,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,120000,120000,67661,52339
ID-20180106-477498,2018-01-06 5:47:42,SSI-D01220338-XX-SAL,Devibav Plain Trump Blouse (XXL,Salem),1.0,125000,125000,67300,57700
ID-20180106-122138,2018-01-06 4:21:48,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,115000,115000,62360,52640
ID-20180106-122138,2018-01-06 4:21:48,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,120000,120000,70883,49117
ID-20180106-622958,2018-01-06 3:31:53,SSI-D01220346-LL-SAL,Devibav Plain Trump Blouse (L,Salem),1.0,125000,125000,71880,53120
ID-20180106-326196,2018-01-06 3:22:54,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,130000,130000,67661,62339
ID-20180106-599823,2018-01-06 2:34:20,SSI-D01220355-XX-YEL,Devibav Plain Trump Blouse (XXL,Yellow),1.0,115000,115000,65364,49636
ID-20180106-995006,2018-01-06 1:39:03,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,115000,115000,68916,46084
ID-20180106-995006,2018-01-06 1:39:03,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,125000,125000,73600,51400
ID-20180106-952955,2018-01-06 0:53:40,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,130000,130000,67661,62339
ID-20180106-137612,2018-01-06 0:44:38,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,120000,120000,62360,57640
ID-20180105-708484,2018-01-05 20:10:56,SSI-D01037812-X3-BLA,Dellaya Plain Loose Big Blouse (XXXL,Black),1.0,130000,130000,67978,62022
ID-20180105-708484,2018-01-05 20:10:56,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,110000,110000,68916,41084
ID-20180105-452199,2018-01-05 20:04:19,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,120000,120000,67365,52635
ID-20180105-241122,2018-01-05 16:38:10,SSI-D01220388-MM-SAL,Devibav Plain Trump Blouse (M,Salem),1.0,115000,115000,67500,47500
ID-20180105-241122,2018-01-05 16:38:10,SSI-D01220355-XX-YEL,Devibav Plain Trump Blouse (XXL,Yellow),1.0,110000,110000,65364,44636
ID-20180105-062130,2018-01-05 14:35:12,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,125000,125000,70071,54929
ID-20180105-969432,2018-01-05 14:33:30,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,120000,120000,67661,52339
ID-20180105-865417,2018-01-05 13:59:31,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,115000,115000,74010,40990
ID-20180105-865417,2018-01-05 13:59:31,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,115000,115000,67365,47635
ID-20180105-480016,2018-01-05 13:28:17,SSI-D01466013-XX-BLA,Salyara Plain Casual Big Blouse (XXL,Black),1.0,110000,110000,78269,31731
ID-20180105-480016,2018-01-05 13:28:17,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,120000,120000,68916,51084
ID-20180105-072726,2018-01-05 13:04:31,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,120000,120000,70071,49929
ID-20180105-103404,2018-01-05 12:53:54,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,120000,120000,70883,49117
ID-20180105-290734,2018-01-05 11:48:32,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,115000,115000,65560,49440
ID-20180105-227687,2018-01-05 11:33:15,SSI-D01401064-XL-RED,Zeomila Zipper Casual Blouse (XL,Red),1.0,115000,115000,67661,47339
ID-20180105-740096,2018-01-05 11:08:48,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,110000,110000,68916,41084
ID-20180105-373123,2018-01-05 10:25:37,SSI-D01401071-LL-RED,Zeomila Zipper Casual Blouse (L,Red),1.0,130000,130000,68916,61084
